IS_Element	Defense_System	P_Value	Odds_Ratio	A_Both_Present	B_Only_IS	C_Only_PAS	D_Neither_Present	Total_Genomes	Adjusted_P
IS21	AbiJ	0.252314422300172	1.83565294941313	28	142	3	28	201	1
IS21	Stk2	1	0	0	170	1	30	201	1
IS21	SEFIR	0.291797439188695	2.6826251897705	14	156	1	30	201	1
IS21	Nhi	0.256556202571703	2.8922200696735	15	155	1	30	201	1
IS21	RM_Type_I	0.338496841121106	1.27858567616613	76	94	12	19	201	1
IS21	CAS_Class1-Subtype-III-A	0.494291679858223	1.40107794203677	15	155	2	29	201	1
IS21	apyc1	0.8867344410883	0.540949021464813	3	167	1	30	201	1
IS21	RM_Type_IV	0.508881964473354	Inf	4	166	0	31	201	1
IS21	acriia21	0.979009798657316	0.285359727569314	5	165	3	28	201	1
IS21	CAS_Class2-Subtype-II-A	0.508881964473354	Inf	4	166	0	31	201	1
IS21	AbiR	0.996628665716643	0.0875667878299065	1	169	2	29	201	1
IS21	Gabija	0.470943293293752	1.87018965355796	10	160	1	30	201	1
IS21	RloC	0.724002957670004	0.906687087830487	10	160	2	29	201	1
IS21	CoCoNut_I-B	0.845771144278607	Inf	1	169	0	31	201	1
IS21	CBASS_I	0.82919345480176	0.724189190275944	4	166	1	30	201	1
IS21	RM_Type_II	0.56865070167594	1.06915117485433	29	141	5	26	201	1
IS21	AbiG	0.255083228464627	Inf	8	162	0	31	201	1
IS21	RM_Type_III	0.891665315002566	0.532542332949747	6	164	2	29	201	1
IS21	Nemetona	0.845771144278607	Inf	1	169	0	31	201	1
IS21	PD-T4-9	0.60334508362709	Inf	3	167	0	31	201	1
IS21	RM_Type_IIG	0.767909368641988	0.909513773834076	5	165	1	30	201	1
IS21	AbiK	0.987944925895875	0.175000992204527	2	168	2	29	201	1
IS21	Septu	0.845771144278607	Inf	1	169	0	31	201	1
IS21	Abi2	0.11147951971212	4.20844050116849	21	149	1	30	201	1
IS21	Kiwa	0.845771144278607	Inf	1	169	0	31	201	1
IS21	AbiA_large	1	0	0	170	1	30	201	1
IS21	PARIS_II_merge	0.845771144278607	Inf	1	169	0	31	201	1
IS21	PD-Lambda-1	0.976865671641791	0.179915269614092	1	169	1	30	201	1
IS21	AbiQ	1	0	0	170	1	30	201	1
IS21	AbiH	0.845771144278607	Inf	1	169	0	31	201	1
IS21	MazEF	0.508881964473354	Inf	4	166	0	31	201	1
IS21	Tha	0.845771144278607	Inf	1	169	0	31	201	1
IS21	Pycsar	0.845771144278607	Inf	1	169	0	31	201	1
IS110	AbiJ	0.999978066891164	0.211677202548009	10	118	21	52	201	1
IS110	Stk2	0.63681592039801	Inf	1	127	0	73	201	1
IS110	SEFIR	0.999952560014023	0.123332133228659	3	125	12	61	201	1
IS110	Nhi	0.998755130711855	0.23093223754747	5	123	11	62	201	1
IS110	RM_Type_I	0.564007227653414	0.99654482606577	56	72	32	41	201	1
IS110	CAS_Class1-Subtype-III-A	0.999470461604897	0.208389868394415	5	123	12	61	201	1
IS110	apyc1	0.539232389900657	1.72370891677963	3	125	1	72	201	1
IS110	RM_Type_IV	0.539232389900657	1.72370891677963	3	125	1	72	201	1
IS110	acriia21	0.680312652827545	0.948761000781158	5	123	3	70	201	1
IS110	CAS_Class2-Subtype-II-A	1	0	0	128	4	69	201	1
IS110	AbiR	0.701057526438161	1.14213511039188	2	126	1	72	201	1
IS110	Gabija	0.834535978113983	0.670277738142877	6	122	5	68	201	1
IS110	RloC	0.994047329499772	0.263970802125554	4	124	8	65	201	1
IS110	CoCoNut_I-B	1	0	0	128	1	72	201	1
IS110	CBASS_I	0.746237133085688	0.852699018355608	3	125	2	71	201	1
IS110	RM_Type_II	0.80093979267617	0.781423852444419	20	108	14	59	201	1
IS110	AbiG	0.0249151374705483	Inf	8	120	0	73	201	0.632461181944688
IS110	RM_Type_III	0.393555204247901	1.74147049164294	6	122	2	71	201	1
IS110	Nemetona	1	0	0	128	1	72	201	1
IS110	PD-T4-9	1	0	0	128	3	70	201	1
IS110	RM_Type_IIG	0.62125977963214	1.14442881901166	4	124	2	71	201	1
IS110	AbiK	0.862882662975665	0.565218652563474	2	126	2	71	201	1
IS110	Septu	1	0	0	128	1	72	201	1
IS110	Abi2	0.0463391964453875	2.81013554980439	18	110	4	69	201	0.899525578057521
IS110	Kiwa	1	0	0	128	1	72	201	1
IS110	AbiA_large	0.63681592039801	Inf	1	127	0	73	201	1
IS110	PARIS_II_merge	0.63681592039801	Inf	1	127	0	73	201	1
IS110	PD-Lambda-1	0.404378109452737	Inf	2	126	0	73	201	1
IS110	AbiQ	1	0	0	128	1	72	201	1
IS110	AbiH	1	0	0	128	1	72	201	1
IS110	MazEF	1	0	0	128	4	69	201	1
IS110	Tha	1	0	0	128	1	72	201	1
IS110	Pycsar	0.63681592039801	Inf	1	127	0	73	201	1
IS6	AbiJ	0.998188776014393	0.31447460980994	19	142	12	28	201	1
IS6	Stk2	0.800995024875622	Inf	1	160	0	40	201	1
IS6	SEFIR	0.986132857157673	0.337881800217262	9	152	6	34	201	1
IS6	Nhi	0.928413262335008	0.515308754387651	11	150	5	35	201	1
IS6	RM_Type_I	0.0755503921618819	1.80603924888171	75	86	13	27	201	1
IS6	CAS_Class1-Subtype-III-A	0.905867890491706	0.565610414077826	12	149	5	35	201	1
IS6	apyc1	0.408559910967471	Inf	4	157	0	40	201	1
IS6	RM_Type_IV	0.822291466377568	0.741711132983863	3	158	1	39	201	1
