replicon	Assembly	Accession	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in	type	subtype	activity
GCF_000007645.1_NC_004461.1_dnaA0_rlmHplus1Mbp	GCF_000007645.1	NC_004461.1	GCF_000007645.1_NC_004461.1_dnaA0_rlmHplus1Mbp_41	AbiJ__AbiJ	41	defense-finder-models/DefenseFinder/AbiJ/AbiJ	GCF_000007645.1_NC_004461.1_dnaA0_rlmHplus1Mbp_AbiJ_1	1	1	1	1	1	AbiJ__AbiJ	mandatory	267	6.6e-11	37.9	0.662	0.753	61	261	NA	NA	AbiJ	AbiJ	Defense
GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp	GCF_000011925.1	NC_002976.3	GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_68	Stk2__Stk2	68	defense-finder-models/DefenseFinder/Stk2/Stk2	GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_Stk2_3	1	1	1	1	1	Stk2__Stk2	mandatory	503	3.5e-291	961.8	0.998	0.998	1	502	NA		Stk2	Stk2	Defense
GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp	GCF_000011925.1	NC_002976.3	GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_70	SEFIR__bSEFIR	70	defense-finder-models/DefenseFinder/SEFIR/SEFIR	GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_SEFIR_2	1	1	1	1	1	SEFIR__bSEFIR	mandatory	440	1.3e-66	221.7	0.845	0.991	1	436	NA		SEFIR	SEFIR	Defense
GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp	GCF_000011925.1	NC_002976.3	GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_72	Nhi__Nhi	72	defense-finder-models/DefenseFinder/Nhi/Nhi	GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_Nhi_1	1	1	1	1	1	Nhi__Nhi	mandatory	607	1.9e-173	573.2	0.998	0.806	1	489	NA		Nhi	Nhi	Defense
GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp	GCF_000011925.1	NC_002976.3	GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_73	RM__Type_I_REases_FAM_0.einsi_trimmed	73	defense-finder-models/RM/RM/RM_Type_I	GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_RM_Type_I_5	1	1	1	3	1	RM__Type_I_REases_FAM_0.einsi_trimmed	mandatory	931	3.6e-192	637	0.93	0.973	1	906	NA	GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_PrrC_4	RM	RM_Type_I	Defense
GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp	GCF_000011925.1	NC_002976.3	GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_75	RM__Type_I_MTases_FAM_0	75	defense-finder-models/RM/RM/RM_Type_I	GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_RM_Type_I_5	1	1	1	3	1	RM__Type_I_MTases_FAM_0	mandatory	519	3e-180	596.2	0.992	0.979	7	514	NA	GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_PrrC_4	RM	RM_Type_I	Defense
GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp	GCF_000011925.1	NC_002976.3	GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_76	RM__Type_I_S_04	76	defense-finder-models/RM/RM/RM_Type_I	GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_RM_Type_I_5	1	1	1	3	1	RM__Type_I_S_01	mandatory	382	4.8e-25	84.4	0.651	0.817	69	380	NA	GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_PrrC_4	RM	RM_Type_I	Defense
GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp	GCF_000011925.1	NC_002976.3	GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_83	cas1_I_II_III_IV_V_VI_5	83	CasFinder/CAS_Class1-Subtype-III-A	GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_CAS_Class1-Subtype-III-A_6	1	1	1	9	1	cas1_I_II_III_IV_V_VI_10	accessory	302	8.6e-97	319.4	0.996	0.917	3	279	NA	GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_CAS_Class1-Type-III_7,GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_CAS_Cluster_8	Cas	CAS_Class1-Subtype-III-A	Defense
GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp	GCF_000011925.1	NC_002976.3	GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_84	cas2_I_II_III_IV_V_VI_1	84	CasFinder/CAS_Class1-Subtype-III-A	GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_CAS_Class1-Subtype-III-A_6	1	1	1	9	1	cas2_I_II_III_IV_V_VI_5	accessory	102	9e-28	92.4	0.989	0.931	1	95	NA	GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_CAS_Class1-Type-III_7,GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_CAS_Cluster_8	Cas	CAS_Class1-Subtype-III-A	Defense
GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp	GCF_000011925.1	NC_002976.3	GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_85	cas10_III-A_1	85	CasFinder/CAS_Class1-Subtype-III-A	GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_CAS_Class1-Subtype-III-A_6	1	1	1	9	1	cas10_III-A_1	mandatory	758	3.3e-214	709	0.998	0.844	7	646	NA	GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_CAS_Class1-Type-III_7,GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_CAS_Cluster_8	Cas	CAS_Class1-Subtype-III-A	Defense
