Assembly	Contig_ID	Strand	Extracted_Length	rlmH_relative_start	rlmH_relative_end
GCF_045945235.1	NZ_CP064644.1	+	1032156	31676	32156
GCF_900086615.2	NZ_LT571449.1	+	1032173	31693	32173
GCF_042464775.1	NZ_CP170250.1	+	1031608	31128	31608
GCF_025558665.1	NZ_CP094728.1	+	1032164	31684	32164
GCF_029691855.1	NZ_CP121518.1	-	847908	30317	30797
GCF_016903555.1	NZ_CP069951.1	-	1030813	30333	30813
GCF_021484865.1	NZ_CP090575.1	+	1032170	31690	32170
GCF_045926605.1	NZ_CP064453.1	+	1032166	31686	32166
GCF_045934295.1	NZ_CP064543.1	+	1032174	31694	32174
GCF_003856395.1	NZ_CP034111.1	+	1032153	31673	32153
GCF_029691955.1	NZ_CP121529.1	-	158616	-57553	-57073
GCF_019329585.1	NZ_CP073847.1	+	1031350	30870	31350
GCF_031326165.1	NZ_CP133663.1	+	1032173	31693	32173
GCF_029691725.1	NZ_CP121477.1	+	808979	31664	32144
GCF_019329785.1	NZ_CP073872.1	+	1032172	31692	32172
GCF_029025685.1	NZ_CP119047.1	+	1032157	31677	32157
GCF_042464735.1	NZ_CP170246.1	+	1032166	31686	32166
GCF_045929845.1	NZ_CP064494.1	+	1032156	31676	32156
GCF_900638695.1	NZ_LR134536.1	+	76009	31692	32172
GCF_045928525.1	NZ_CP064480.1	+	1032174	31694	32174
GCF_025558725.1	NZ_CP094733.1	+	1032147	31667	32147
GCF_019329685.1	NZ_CP073859.1	+	1032172	31692	32172
GCF_029691915.1	NZ_CP121513.1	+	1032153	31673	32153
GCF_045933325.1	NZ_CP064533.1	+	1032156	31676	32156
GCF_045933235.1	NZ_CP064528.1	+	1032158	31678	32158
GCF_009769125.1	NZ_CP043847.1	+	1014460	31696	32176
GCF_042464725.1	NZ_CP170245.1	+	1032153	31673	32153
GCF_045929855.1	NZ_CP064499.1	+	1032174	31694	32174
GCF_045927355.1	NZ_CP064464.1	+	1032156	31676	32156
GCF_025665415.1	NZ_CP106834.1	+	1032153	31673	32153
GCF_023547125.1	NZ_CP097519.1	+	1032171	31691	32171
GCF_016727385.1	NZ_CP068136.1	+	1032163	31683	32163
GCF_047777965.1	NZ_CP180533.1	+	1032165	31685	32165
GCF_042464765.1	NZ_CP170249.1	+	1032145	31665	32145
GCF_045786335.1	NZ_CP064467.1	+	1032173	31693	32173
GCF_029691775.1	NZ_CP121483.1	+	855490	31681	32161
